word,translation,phonetic,pos,tag,total,spoken_ratio,academic_ratio,cefr_standard,difficulty_level,learning_level,dataset_type
branch,"n. 树枝, 支店, 支流, 分部\nvi. 分支, 出枝\nvt. 分割, 用枝状叶脉刺绣花纹装饰\n[计] 分支, 目录分支",(bræntʃ),n,高考 四级 考研 雅思,21396,0.0927276126378762,0.2072349971957375,B1,3,中级,cet4
remind,"vt. 提醒, 使想起",(ri'maind),v,高考 四级 六级 考研 托福 雅思,27902,0.1665472009174969,0.1377679019425131,B1,3,中级,cet4
united,"a. 联合的, 团结的, 一致的, 和睦的\n[法] 联合的, 统一的, 一致的",(ju:'naitid),j,雅思,27965,0.2929376005721437,0.1960665117110674,B1,3,中级,cet4
neck,"n. 脖子, 衣领, 颈\nvi. 拥抱, 拥吻, 收缩\nvt. 割颈",(nek),n,中考 高考 四级 六级 考研 托福 雅思,28054,0.0763527482711912,0.1032651315320453,A2,2,初级,cet4
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的\nadv. 非常",(rєә),j,高考 四级 六级 考研 托福 雅思,20819,0.1430904462270041,0.1902108650751717,A2,2,初级,cet4
contemporary,"n. 同时代的人\na. 同时代的, 属于同一时期的",(kәn'tempәrәri),j,高考 四级 六级 考研 托福 雅思,20860,0.0301534036433365,0.5393576222435282,B2,4,中级,cet4
ultimately,"adv. 最后, 最终\n[法] 最后, 终究, 总之",('ʌltimәtli),r,四级 六级 雅思,22167,0.2150042856498398,0.3284161140433978,B2,4,中级,cet4
debt,"n. 债务, 罪过\n[经] 借款, 欠款, 债务",(det),n,高考 四级 六级 考研 托福 雅思,22191,0.2327970798972556,0.1836330043711414,A2,2,初级,cet4
meat,"n. 肉, 餐, 食物\n[经] 肉类",(mi:t),n,中考 高考 雅思,22210,0.094732102656461,0.0878433138226024,A1,1,初级,cet4
fee,"n. 费用, 小费, 封地, 所有权\nvt. 付费给",(fi:),n,高考 四级 考研 雅思,22234,0.0860393991184672,0.1633084465233426,A1,1,初级,cet4
mayor,n. 市长\n[法] 市长,('mєә),n,四级 六级 考研,22300,0.2104035874439462,0.0594170403587443,A2,2,初级,cet4
flower,"n. 花, 开花植物, 精华, 盛时\nvi. 开花, 发育, 旺盛, 成熟\nvt. 用花装饰, 使开花",('flauә),n,中考 高考 雅思,27265,0.0758114799193104,0.0805428204657986,B1,3,中级,cet4
senator,"n. 参议员, (某些大学的)理事\n[法] 参议员, 上议员",('senәtә),n,六级 考研 托福,21437,0.3007883565797453,0.1136353034473107,B1,3,中级,cet4
combination,"n. 组合, 合并, 联合\n[计] 组合图",(.kɒmbi'neiʃәn),n,四级 六级 考研 托福,21540,0.1041318477251624,0.3454967502321263,B2,4,中级,cet4
meanwhile,"n. 其时, 其间\nadv. 同时, 于此时",('mi:nhwail),r,高考 四级 六级 考研,21647,0.1420058206679909,0.1231117475862706,B2,4,中级,cet4
frame,"n. 框, 结构, 体格\nvt. 构成, 设计, 制定, 使适合, 陷害\n[计] 框架, 图文框, 帧",(freim),n,四级 六级 考研 托福,21692,0.0614973262032085,0.2119675456389452,A2,2,初级,cet4
warn,"vt. 警告, 提醒, 通知\nvi. 发出警告",(wɒ:n),v,中考 四级 六级 考研 托福,21699,0.179731784874879,0.1241071017097562,A2,2,初级,cet4
circumstance,"n. 环境, 状况, 事件",('sә:kәmstәns),n,高考 四级 六级 托福 雅思,21743,0.2227383525732419,0.3625074736696868,B2,4,中级,cet4
surgery,"n. 外科, 手术, 手术室, 换球术",('sә:dʒәri),n,四级 六级 考研 托福 雅思,21813,0.2294961720075184,0.1722367395589785,B1,3,中级,cet4
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的\n[法] 金制的, 金色的, 兴隆的",('gәuldn),j,中考 高考 四级 六级 考研,21906,0.0873733223774308,0.0803432849447639,B1,3,中级,cet4
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具\n[计] 设置",('setiŋ),n,四级 六级 考研 托福 雅思,24116,0.0513352131365068,0.5684193066843589,B1,3,中级,cet4
somehow,adv. 不知何故,('sʌmhau),r,四级 六级 考研 雅思,24131,0.2465293605735361,0.0898429406158053,B1,3,中级,cet4
beauty,"n. 美, 美人",('bju:ti),n,高考 四级 考研 雅思,23218,0.1082780601257644,0.1502713412007925,B1,3,中级,cet4
cash,n. 现金\nvt. 兑现,(kæʃ),n,高考 四级 考研 雅思,23227,0.1443148060446893,0.0867524863305635,A2,2,初级,cet4
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的\n[经] 高价的, 昂贵的, 浪费的",(ik'spensiv),j,中考 高考 雅思,23537,0.1555423375961252,0.1342991885117049,B2,4,中级,cet4
accident,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",('æksidәnt),n,中考 高考 四级 考研 托福,22810,0.2491889522139412,0.1102148180622534,B1,3,中级,cet4
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量\nvi. 交易, 做买卖\nvt. 用...作交换\n[计] 通信量, 传输量",('træfik),n,中考 高考 四级 六级 考研 托福 雅思,22917,0.1418161190382685,0.0954749749094558,B1,3,中级,cet4
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人\nvi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏\nvt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝\na. 滑动的, 滑移的, 活络的, 有活结的\n[计] 串行线接口协议",(slip),v,高考 四级 六级 考研 托福 雅思,22942,0.0759306076192136,0.0448086478946909,A2,2,初级,cet4
session,"n. 期间, 开庭期, 会议, 学期\n[计] 会话, 对话, 会晤, 通用任务程序",('seʃәn),n,高考 四级 六级 考研 托福 雅思,26562,0.1645583916873729,0.3348015962653414,B1,3,中级,cet4
fuel,"n. 燃料, 木炭\nvt. 加燃料, 供燃料\nvi. 得到燃料",('fjuәl),n,高考 四级 考研 托福 雅思,26637,0.1445357960731313,0.2370011637947216,A2,2,初级,cet4
breath,"n. 呼吸, 气息, 瞬间\n[医] 呼气, 呵气, 口气, 呼吸",(breθ),n,中考 高考 四级 考研 托福,26983,0.0649668309676463,0.034651447207501,B1,3,中级,cet4
root,"n. 根, 根本, 根源, 基础, 底部\nvt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱\nvi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持",(ru:t),n,高考 四级 六级 考研,22449,0.1007617265802485,0.2410797808365628,A2,2,初级,cet4
prefer,"vt. 宁可, 较喜欢, 提出\n[法] 给予优先权, 优先偿还, 提出",(pri'fә:),v,高考 四级 六级 考研,22572,0.0978646110225057,0.2362661704766968,B1,3,中级,cet4
organize,"vt. 组织, 有机化, 给予生机\nvi. 组织起来",('ɒ:gәnaiz),v,四级 六级 考研,24201,0.1224329573158134,0.3970497086897235,B1,3,中级,cet4
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的\n[法] 重大的, 主要的, 伟大的",(grænd),j,高考 四级 六级 考研 托福 雅思,24503,0.1774476594702689,0.102477247683957,A2,2,初级,cet4
damage,"n. 损害, 伤害\nv. 损害",('dæmidʒ),n,高考 四级 六级 考研 雅思,26047,0.235958075786079,0.2027872691672745,B1,3,中级,cet4
extra,"n. 额外的事物, 另外的收费\na. 额外的, 特别的\nadv. 额外地, 特别地, 非常地",('ekstrә),j,高考 四级 六级 考研 雅思,26344,0.1333890069845126,0.0953158214394169,A2,2,初级,cet4
alive,"a. 活着的, 活泼的, 敏感的, 热闹的",(ә'laiv),j,中考 高考 四级 六级 考研,26440,0.2454236006051437,0.0849848714069591,A2,2,初级,cet4
mental,"a. 心智的, 精神病的, 心理的, 颏的\nn. 精神病患者",('mentl),j,高考 四级 六级 考研 托福 雅思,26472,0.1077364762768207,0.4451495920217588,B1,3,中级,cet4
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负\nvt. 系, 打结, 扎, 约束, 与...成平局\nvi. 结合, 打结, 不分胜负",(tai),v,中考 高考 四级 六级 考研,26498,0.1297079024832062,0.1400860442297531,A1,1,初级,cet4
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包\nvt. 包装, 打包\na. 一揽子的\n[计] 包, 软件包, 包装",('pækidʒ),n,中考 高考 四级 六级 考研 托福 雅思,23766,0.2068080451064546,0.1194984431540856,B1,3,中级,cet4
conclude,"vt. 结束, 作结论, 推断\nvi. 结束, 推断",(kәn'klu:d),v,高考 四级 六级 考研 托福,23778,0.1016065270418033,0.441963159222811,B2,4,中级,cet4
intervention,"n. 插入, 介入, 调停\n[经] 干预",(.intә'venʃәn),n,六级 托福 雅思,23850,0.0594129979035639,0.7842767295597485,B2,4,中级,cet4
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的\nadv. 厚地, 密地, 浓浓地\nn. 最浓处, 最厚处, 最密集处\n[计] 暗, 粗线",(θik),j,中考 高考 四级 六级 考研,23863,0.0451326321082847,0.0643674307505343,A2,2,初级,cet4
difficulty,"n. 困难, 难点",('difikәlti),n,中考 高考 四级 考研 雅思,23977,0.1347541393835759,0.5022730116361513,B2,4,中级,cet4
farmer,"n. 农夫, 农场主\n[法] 农民, 农场主, 承包者",('fɑ:mә),n,中考 高考 四级 六级 考研,25384,0.1196816892530728,0.2649700598802395,A2,2,初级,cet4
aid,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",(eid),n,高考 四级 六级 考研,24511,0.2079882501733915,0.3076577863000285,A1,1,初级,cet4
repeat,"n. 重复, 反复\nvt. 重做, 重复, 复述, 使再现, 复制\nvi. 重复\n[计] 重复",(ri'pi:t),v,中考 高考 四级 六级 考研 托福,24519,0.1193768098209551,0.1867531302255393,B1,3,中级,cet4
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留\nvt. 存入关栈, 使黏合\nvi. 结合",(bɒnd),n,高考 四级 六级 考研 托福 雅思,24526,0.157343227595205,0.1224822637201337,A2,2,初级,cet4
coast,"n. 海岸, 滑坡\nv. 沿海岸而行",(kәust),n,中考 高考 四级 六级 考研,24665,0.1096695722683965,0.187188323535374,A2,2,初级,cet4
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂\na. 黑人的",(sәul),n,高考 四级 六级 考研 托福,24666,0.1155436633422525,0.194559312413849,A2,2,初级,cet4
enemy,"n. 敌人, 仇敌, 敌军\na. 敌人的",('enimi),n,中考 高考 四级 考研,24759,0.2081263378973302,0.1835292216971606,A2,2,初级,cet4
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻\nvi. 起风, 猛冲, 怒吼\nvt. 猛攻",(stɒ:m),n,中考 高考 四级 六级 考研 托福,24770,0.2583366976180864,0.0893015744852644,A2,2,初级,cet4
commitment,"n. 委托, 交押, 承担义务, 赞助\n[医] 院禁",(kә'mitmәnt),n,高考 四级 六级 托福 雅思,24972,0.1572561268620855,0.437650168188371,B2,4,中级,cet4
intend,"vt. 计划, 打算, 意思是\n[法] 想要, 打算, 意旨",(in'tend),v,高考 四级 六级 考研,25406,0.157285680547902,0.2861528772730851,B1,3,中级,cet4
map,"n. 地图, 天体图, 映像\nvt. 映射, 绘制...地图, 计划\n[计] 实用程序, 映射, 制造自动化协议",(mæp),n,中考 高考 托福 雅思,25533,0.1141268162769749,0.2443112834371205,A1,1,初级,cet4
complex,"n. 综合体, 情结, 络合物\na. 复杂的, 组合的",(kәm'pleks),j,高考 四级 六级 考研 托福 雅思,25615,0.0751512785477259,0.4839351942221355,B2,4,中级,cet4
desire,"n. 欲望, 要求\nvt. 想要, 请求\nvi. 渴望",(di'zaiә),n,高考 四级 六级 考研 托福 雅思,25821,0.0918244839471747,0.4056000929476008,B1,3,中级,cet4
invite,"vt. 邀请, 请求, 引起, 招致\nn. 邀请",(in'vait),v,中考 高考 四级 六级 考研,24168,0.1740731545845746,0.1835898709036743,B1,3,中级,cet4
console,"vt. 安慰, 藉慰\nn. 控制台\n[计] 控制台",(kәn'sәul),v,六级 考研 托福 雅思 GRE,1904,0.0593487394957983,0.0903361344537815,B1,3,中级,cet4
refinery,n. 精炼厂\n[化] 精炼厂炼糖厂,(ri'fainәri),n,六级 GRE,1913,0.1986408782017773,0.1573444851019341,B1,3,中级,cet4
solemn,"a. 严肃的, 郑重的, 庄严的",('sɒlәm),j,四级 六级 考研 托福 雅思 GRE,1886,0.1214209968186638,0.1256627783669141,B1,3,中级,cet4
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断\nvi. 断, 裂开",('sevә),v,托福 GRE,1892,0.1136363636363636,0.2394291754756871,A2,2,初级,cet4
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的",(nais),j,中考 高考 GRE,48777,0.3582836172786354,0.0245812575599155,A2,2,初级,cet4
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交\nvi. 迁移, 移动, 搬家\nn. 班级, 升级, 移动, 搬家, 间距\n[计] 删除",(ri'mu:v),v,高考 四级 六级 考研 托福 GRE,48857,0.1058190228626399,0.1779274208404118,B1,3,中级,cet4
blue,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",(blu:),j,高考 GRE,51601,0.0909478498478711,0.0698629871514118,A1,1,初级,cet4
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的\nvt. 促进...的生长, 转寄, 运送\nadv. 向前地\n[计] 前推, 转信",('fɒ:wәd),r,中考 高考 GRE,52561,0.2534198360000761,0.0805540229447689,B1,3,中级,cet4
approach,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",(ә'prәutʃ),n,高考 四级 六级 考研 托福 雅思 GRE,59191,0.0846750350560051,0.5417208697268165,B1,3,中级,cet4
eradicate,"vt. 根除, 扑灭, 根绝, 消灭",(i'rædikeit),v,六级 托福 雅思 GRE,1849,0.1325040562466198,0.3499188750676041,B2,4,中级,cet4
scant,"a. 不充分的, 不足的\nvt. 减少, 吝啬, 限制, 藐视, 忽略",(skænt),j,雅思 GRE,1850,0.0372972972972973,0.227027027027027,A2,2,初级,cet4
inscribe,"vt. 登记, 铭记于, 题写, 雕刻\n[电] 书写",(in'skraib),v,GRE,1851,0.0345759049162614,0.457590491626148,B1,3,中级,cet4
imposing,"a. 令人难忘的, 壮丽的, 威风的",(im'pәuziŋ),j,托福 雅思 GRE,1862,0.0698174006444683,0.2314715359828141,B1,3,中级,cet4
denote,"vt. 指示, 表示",(di'nәut),v,六级 考研 托福 雅思 GRE,1871,0.0165686798503474,0.6771779796900054,B1,3,中级,cet4
undercut,"n. 底切, 牛腰部下侧嫩肉, 下口, 下旋削球\nvt. 廉价出售, 底切, 雕出, 下旋削球\nvi. 切除底部",('ʌndәkʌt),v,GRE,1834,0.1766630316248637,0.3004362050163577,B1,3,中级,cet4
fume,"n. 臭气, 烟, 激怒\nvt. 熏\nvi. 冒烟",(fju:m),n,考研 托福 雅思 GRE,1710,0.0953216374269005,0.0988304093567251,A2,2,初级,cet4
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影",(.әuvә'ʃædәu),v,GRE,1721,0.1841952353282975,0.2452062754212667,B2,4,中级,cet4
amass,"vt. 积聚, 堆积",(ә'mæs),v,托福 GRE,1722,0.0917537746806039,0.1631823461091753,A2,2,初级,cet4
loophole,"n. 枪眼, 小窗, 换气孔",('lu:phәul),n,GRE,1724,0.3114849187935035,0.1131090487238979,B1,3,中级,cet4
dissident,"a. 意见不同的, 持不同政见的\nn. 意见不同的人, 持不同政见者",('disidәnt),n,GRE,1725,0.2347826086956521,0.2579710144927536,B2,4,中级,cet4
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层\nvt. 搁置, 嵌合, 制表, 把...列入议事日程\n[计] 表格, 模拟运算表",('teibl),n,中考 高考 雅思 GRE,134109,0.057289219962866,0.3891610555592839,A2,2,初级,cet4
grape,"n. 葡萄, 葡萄树\n[医] 葡萄",(greip),n,中考 高考 四级 六级 考研,5809,0.0815975210879669,0.0970907212945429,A2,2,初级,cet4
ability,"n. 能力, 才干\n[经] 能力, 才能",(ә'biliti),n,中考 高考 四级 考研 托福 雅思,55884,0.1169565528594946,0.4585391167418223,B2,4,中级,cet4
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料\nvt. 上浆, 依大小排列\nvi. 可比拟\na. 一定大小的, 一定尺寸的",(saiz),n,中考 高考 雅思,55904,0.0905123068116771,0.3127683171150544,A2,2,初级,cet4
media,n. 媒体\n[计] 媒质,('mi:diә),n,高考 四级 六级 托福 雅思,56213,0.2807001939053244,0.236617864195115,A2,2,初级,cet4
excessive,"a. 过度的, 过多的, 极端的\n[法] 过度的, 过分的, 额外的",(ik'sesiv),j,四级 六级 考研 托福,6053,0.1148190979679497,0.3950107384767883,B2,4,中级,cet4
cease,"n. 停止\nv. 停止, 终了",(si:s),v,四级 六级 考研 托福 雅思,6077,0.0967582688826723,0.2945532335033733,A2,2,初级,cet4
harassment,"n. 困扰, 烦扰, 烦恼\n[法] 折磨, 骚扰, 侵扰",('hærәsmәnt),n,考研 雅思,6087,0.295219319862001,0.2572695909314933,B2,4,中级,cet4
interfere,"vi. 妨碍, 冲突, 干涉, 抵触\n[医] 干扰, 干涉, 阻碍, 碰腿(马)",(.intә'fiә),v,四级 六级 考研 托福,6091,0.152355934986045,0.3073386964373666,B2,4,中级,cet4
rim,"n. 边, 轮缘, 框\nvt. 镶边, 为...装边\nvi. 形成边缘",(rim),n,六级 考研 托福 雅思,6093,0.0313474478910224,0.0951912030198588,A1,1,初级,cet4
chew,"vt. 咀嚼, 嚼碎\nvi. 咀嚼, 细想\nn. 咀嚼, 咀嚼物",(tʃu:),v,高考 四级 六级 考研 雅思,6096,0.0894028871391076,0.0451115485564304,A2,2,初级,cet4
halo,"n. 晕轮, 光圈, 晕状物, 荣光\nvt. 使有晕轮, 围以光环\nvi. 成晕轮",('heilәu),n,GRE,1764,0.0498866213151927,0.187641723356009,A2,2,初级,cet4
cripple,"n. 跛者, 残废\nvt. 使跛, 使成残废, 削弱\na. 跛的, 残废的",('kripl),v,四级 六级 考研 托福 雅思 GRE,1768,0.1860859728506787,0.1351809954751131,B1,3,中级,cet4
sane,"a. 神智健全的, 稳健的, 没病的, 合理的\n[医] 精神健全的",(sein),j,考研 托福 GRE,1768,0.1487556561085972,0.0921945701357466,A2,2,初级,cet4
candid,"a. 坦白的, 率直的, 公正的",('kændid),j,托福 GRE,1774,0.3455467869222097,0.1476888387824126,B1,3,中级,cet4
jockey,"n. 赛马骑师, 驾驶员, 操作工\nvt. 骗, 瞒, 驾驶, 移动\nvi. 当赛马的骑师",('dʒɒki),n,GRE,1775,0.1707042253521127,0.0304225352112676,B1,3,中级,cet4
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱",(hju:'milieit),v,考研 托福 雅思 GRE,1778,0.2739032620922385,0.124859392575928,B2,4,中级,cet4
engine,"n. 引擎, 发动机, 机车\nvt. 安装发动机于",('endʒin),n,高考 四级 六级 考研 雅思,25763,0.0845398439622714,0.1263827970345068,B1,3,中级,cet4
and,"conj. 和, 与\n[计] 与",(ænd),c,中考 高考,11654439,0.2013954511238164,0.2231092376046586,A1,1,初级,cet4
want,"n. 需要的东西, 缺乏, 贫困, 需要\nvt. 要, 希望, 应该, 缺少\nvi. 生活困苦, 需要, 缺少",(wɒnt),v,中考 高考 GRE,559368,0.3584348765034825,0.0524091474664263,A2,2,初级,cet4
danger,"n. 危险, 威胁\n[法] 危险, 危险物, 危机",('deindʒә),n,中考 高考 四级 考研 雅思,25048,0.2360667518364739,0.2066831683168316,B1,3,中级,cet4
temperature,"n. 温度, 发烧, 热度\n[化] 温度",('temprәtʃә),n,中考 高考 四级 六级 考研 托福 雅思,25097,0.0821612144877873,0.2842969279196716,B2,4,中级,cet4
disappear,"vi. 消失, 不见",(.disә'piә),v,高考 四级 六级 考研,25180,0.1289912629070691,0.1203335980937251,B2,4,中级,cet4
instrument,"n. 工具, 手段, 仪器\n[化] 仪器",('instrumәnt),n,高考 四级 六级 考研 托福 雅思,25310,0.0958909521928091,0.5467404188067957,B2,4,中级,cet4
increasingly,"adv. 逐渐地, 渐增地",(in'kri:siŋli),r,四级 六级 考研,25344,0.084872159090909,0.4036458333333333,B2,4,中级,cet4
down,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令",(daun),r,中考 高考 托福 GRE,356991,0.2132742842256527,0.0509060452504404,A2,2,初级,cet4
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注",(in'gʌlf),v,托福 GRE,1705,0.1184750733137829,0.1366568914956011,B1,3,中级,cet4
warranty,"n. 正当理由, 授权, 担保, 保证, 根据\n[经] 保单, 担保书, 保证书",('wɒ:rәnti),n,托福 雅思 GRE,1832,0.0420305676855895,0.0720524017467248,B1,3,中级,cet4
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位\nvt. 替换, 转移, 改变, 推卸, 变速\nvi. 转换, 移动, 转变, 推托, 变速\n[计] DOS内部命令:该命令可将批处理参数向左移动一个位置",(ʃift),v,四级 六级 考研 托福 雅思,23211,0.0950411442850372,0.2381198569643703,A2,2,初级,cet4
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序\nvt. 训练, 教育, 对准\nvi. 受训练, 锻炼",(trein),v,中考 高考 雅思,25990,0.1876490958060792,0.2276260100038476,A2,2,初级,cet4
advice,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",(әd'vais),n,中考 高考 四级 六级 考研 托福 雅思,24189,0.2231592872793418,0.1558559675885733,B1,3,中级,cet4
library,"n. 图书馆, 藏书, 库\n[计] 库",('laibrәri),n,中考 高考 雅思,24266,0.0682436330668425,0.2810516772438803,B1,3,中级,cet4
loan,"n. 贷款, 借出\nv. 借, 供应货款, 借给",(lәun),n,四级 六级 考研 托福 雅思,24302,0.1810962060735741,0.106904781499465,A2,2,初级,cet4
breast,"n. 胸部, 乳房, 胸怀\nvt. 以胸对着, 面对",(brest),n,高考 四级 六级 考研,24331,0.1542887674160536,0.0808022687106982,B1,3,中级,cet4
theme,"n. 主题, 话题, 题目",(θi:m),n,高考 四级 六级 考研 托福 雅思,24375,0.1295179487179487,0.4370461538461538,A2,2,初级,cet4
novel,"n. 小说, 长篇故事\na. 新奇的, 异常的",('nɒvl),n,高考 四级 六级 考研 托福 雅思,24449,0.0973454947032598,0.3890547670661377,A2,2,初级,cet4
chest,"n. 胸, 胸部, 衣柜, 箱子\n[医] 胸, 胸廓",(tʃest),n,中考 高考 四级 六级 考研 托福 雅思,24493,0.0679377781406932,0.0527905932307189,A2,2,初级,cet4
monarchy,"n. 君主政体, 君主国, 君主政治\n[法] 君主政体, 君主制度, 君主国",('mɒnәki),n,雅思 GRE,1786,0.1920492721164613,0.4344904815229563,B1,3,中级,cet4
anthem,"n. 圣歌, 赞美诗",('ænθәm),n,托福 雅思 GRE,1788,0.2231543624161074,0.1101789709172259,B1,3,中级,cet4
prophecy,"n. 预言, 预言能力",('prɒfәsi),n,六级 雅思 GRE,1789,0.0978200111794298,0.3392956959195081,B1,3,中级,cet4
replica,n. 复制品\n[计] 目录分区复制,('replikә),n,托福 GRE,1792,0.0758928571428571,0.1702008928571428,B1,3,中级,cet4
falter,"vt. 支吾地说\nvi. 支吾, 蹒跚地走\nn. 颤抖, 支吾, 踌躇",('fɒ:ltә),v,考研 托福 雅思 GRE,1798,0.067853170189099,0.0978865406006674,B1,3,中级,cet4
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切\nvt. 修剪, 割, 剥夺, 横越, 削剪\nvi. 剪, 修剪, 剪羊毛, 切断",(ʃiә),v,四级 六级 考研 托福 雅思 GRE,1801,0.0716268739589117,0.4086618545252637,A2,2,初级,cet4
pageant,"n. 盛会, 游行, 虚饰, 露天表演",('pædʒәnt),n,雅思 GRE,1843,0.2175800325556158,0.1703743895822029,B1,3,中级,cet4
belongings,"n. 财产, 所有物, 相关事物\n[经] 财产, 所有物, 附属物",(bi'lɒŋiŋz),n,GRE,1843,0.1644058600108518,0.0841020075963103,B2,4,中级,cet4
prod,"n. 刺针, 刺棒, 激励话, 提醒物\nvt. 戳, 刺, 刺激\nvi. 戳, 刺",(prɒd),v,托福 GRE,1844,0.0873101952277657,0.0997830802603036,A2,2,初级,cet4
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片\nvt. 盖上被单, 遍布\nvi. 大片落下\na. 片状的, 成薄片的\n[计] 工作表",(ʃi:t),n,高考 四级 六级 考研 托福 雅思,22907,0.0629938446762998,0.1327541799449949,A2,2,初级,cet4
minority,"n. 少数, 未成年, 少数民族\na. 少数的, 属于少数派的",(mai'nɒriti),n,高考 四级 六级 考研 托福 雅思,26467,0.1850228586541731,0.4148940189670155,B1,3,中级,cet4
birth,"n. 出生, 起源\n[医] 生产, 分娩",(bә:θ),n,中考 高考 四级 考研 雅思,26506,0.1674715158831962,0.2442088583716894,A2,2,初级,cet4
colleague,"n. 同事, 同僚",('kɒli:g),n,高考 四级 六级 考研 托福,26543,0.1811777116377199,0.312587122781901,B2,4,中级,cet4
largely,"adv. 大量地, 很多地, 大半地",('lɑ:dʒli),r,四级 六级 考研 托福,23936,0.0970922459893048,0.4049966577540106,B1,3,中级,cet4
balance,"n. 平衡, 差额\nvi. 平衡, 相等\nvt. 称, 权衡, 比较, 使平衡, 结算, 抵消",('bælәns),n,高考 四级 考研 托福 雅思,24024,0.1362387612387612,0.2745171495171495,B1,3,中级,cet4
fruit,"n. 水果, 果类, 结果\n[医] 果实, 种实",(fru:t),n,中考 高考 雅思,24055,0.0653502390355435,0.1348991893577218,A2,2,初级,cet4
married,"a. 已婚的, 婚姻的\n[法] 结了婚的, 有配偶的, 夫妇的",('mærid),j,高考 四级 六级 考研,24072,0.2273180458624127,0.1153207045530076,B1,3,中级,cet4
suffice,"vi. 足够, 有能力\nvt. 满足",(sә'fais),v,六级 考研 GRE,1819,0.0632215503023639,0.4123144584936778,B1,3,中级,cet4
breadth,"n. 宽度\n[法] 违背, 违犯, 未遵守",(bredθ),n,四级 六级 考研 GRE,1821,0.071938495332235,0.4563426688632619,B1,3,中级,cet4
fuss,"n. 大惊小怪, 小题大作, 忙乱\nvi. 无事自扰, 焦急, 焦燥, 忙乱\nvt. 使激动, 使烦燥",(fʌs),n,六级 考研 雅思 GRE,1823,0.1475589687328579,0.0603400987383433,A2,2,初级,cet4
touching,"a. 动人的, 令人同情的",('tʌtʃiŋ),j,托福 雅思 GRE,1824,0.1984649122807017,0.1288377192982456,B1,3,中级,cet4
hoist,"n. 升高, 起重机, 推动\nv. 升起, 升高, 举起",(hɒist),v,六级 考研 托福 雅思 GRE,1827,0.0613026819923371,0.0415982484948002,A2,2,初级,cet4
fraternity,"n. 友爱, 互助会, 大学生联谊会",(frә'tә:niti),n,GRE,1858,0.2039827771797631,0.166307857911733,B2,4,中级,cet4
bottom,"n. 底部\na. 底部的\nvt. 给...装底, 查明真相\nvi. 到达底部, 建立基础",('bɒtәm),n,中考 高考 四级 考研,26768,0.1267558278541542,0.1078526598924088,B1,3,中级,cet4
male,"n. 男人, 雄性动物\na. 男性的, 雄性的, 有力的",(meil),j,高考 四级 考研 雅思,26809,0.0976910738930956,0.4554813681972472,A2,2,初级,cet4
